CustomerID,Points,Tier
1,5129,Silver
2,900,Gold
3,1285,Bronze
4,6337,Platinum
5,2483,Gold
6,9555,Platinum
7,1578,Platinum
8,9562,Silver
9,8260,Platinum
10,1380,Bronze
11,2007,Gold
12,65,Platinum
13,7124,Silver
14,2386,Bronze
15,1380,Bronze
16,9591,Silver
17,3949,Platinum
18,3915,Silver
19,8964,Bronze
20,6780,Silver
21,4952,Silver
22,7501,Silver
23,9807,Gold
24,2102,Silver
25,7276,Silver
26,8264,Silver
27,2887,Platinum
28,3085,Bronze
29,8960,Silver
30,3317,Bronze
31,5187,Platinum
32,6561,Bronze
33,5058,Bronze
34,8304,Gold
35,7781,Platinum
36,9108,Silver
37,4237,Gold
38,4513,Platinum
39,4711,Bronze
40,70,Platinum
41,6474,Platinum
42,9800,Silver
43,616,Bronze
44,2052,Gold
45,3807,Bronze
46,7329,Gold
47,584,Platinum
48,8658,Bronze
49,7290,Gold
50,5848,Gold
51,1843,Platinum
52,607,Gold
53,8489,Gold
54,884,Platinum
55,421,Platinum
56,3031,Silver
57,8290,Platinum
58,7234,Silver
59,1976,Gold
60,2055,Gold
61,9984,Platinum
62,9788,Gold
63,2328,Silver
64,4938,Platinum
65,7430,Bronze
66,952,Platinum
67,1646,Platinum
68,2357,Silver
69,5395,Bronze
70,7657,Bronze
71,5706,Platinum
72,3472,Bronze
73,9192,Bronze
74,9491,Silver
75,2637,Gold
76,5121,Gold
77,7471,Platinum
78,9474,Platinum
79,65,Silver
80,1351,Platinum
81,3198,Bronze
82,597,Silver
83,7444,Platinum
84,8055,Bronze
85,273,Bronze
86,7189,Platinum
87,3954,Silver
88,5277,Gold
89,2540,Silver
90,8380,Gold
91,1726,Gold
92,5119,Silver
93,5571,Silver
94,3885,Platinum
95,9514,Bronze
96,5748,Gold
97,6734,Platinum
98,1319,Bronze
99,3589,Gold
100,4883,Bronze
101,7655,Platinum
102,9628,Bronze
103,878,Gold
104,9196,Bronze
105,7759,Gold
106,5044,Silver
107,6767,Bronze
108,4234,Platinum
109,6621,Bronze
110,8354,Silver
111,6900,Gold
112,515,Bronze
113,7799,Platinum
114,3813,Gold
115,8950,Platinum
116,3230,Platinum
117,6000,Platinum
118,607,Silver
119,2761,Gold
120,2062,Gold
121,893,Silver
122,8294,Gold
123,7166,Platinum
124,9057,Gold
125,2169,Bronze
126,4620,Bronze
127,9138,Bronze
128,8385,Platinum
129,6461,Bronze
130,3910,Gold
131,5327,Gold
132,2089,Gold
133,1391,Bronze
134,8323,Gold
