OrderNum,CustomerID,ItemID,Quantity,OrderDate
1,6859,1957,2,21/02/2024
2,3485,8226,2,10/06/2024
3,1758,6981,2,28/08/2023
4,4359,3834,2,25/02/2024
5,4567,6386,105,27/03/2024
6,5890,4477,3,13/01/2024
7,1940,3380,5,26/09/2023
8,4549,348,5,18/09/2024
9,3202,4066,2,16/09/2024
10,6297,2712,211,30/11/2024
11,3613,8003,5,19/09/2023
12,5914,5588,1,31/10/2023
13,1471,8809,1,18/08/2024
14,4565,1375,58,26/09/2024
15,301,2522,5,16/04/2024
16,3345,68,2,29/05/2023
17,266,7513,1,08/04/2025
18,4103,4698,3,05/09/2024
19,2915,795,2,03/08/2024
20,1426,1635,1,19/11/2024
21,2851,4520,5,15/10/2024
22,761,5551,0,19/01/2025
23,479,8046,77,17/05/2024
24,5035,4879,2,22/12/2023
25,4908,1357,3,07/06/2024
26,4771,470,5,13/02/2025
27,3841,6620,1,23/07/2024
28,6513,7386,4,13/09/2024
29,3088,6996,4,06/10/2024
30,619,3398,3,01/01/2000
31,2505,7125,3,25/04/2024
32,3960,2684,0,09/04/2024
33,6497,3860,5,05/11/2023
34,3572,3610,2,26/05/2024
35,324,5733,3,06/08/2024
36,6592,7283,4,27/09/2023
37,4394,2229,3,10/08/2024
38,6932,2769,2,27/09/2023
39,2148,7548,3,13/02/2024
40,4623,8766,1,09/02/2024
41,5443,7991,3,24/06/2023
42,6108,7250,3,20/08/2023
43,2177,9799,2,13/01/2024
44,4954,126,177,02/01/2025
45,2957,592,2,30/10/2023
46,6069,8337,3,10/01/2024
47,1401,4359,2,01/01/2000
48,5168,1522,5,12/09/2024
49,3707,4893,1,01/01/2000
50,6483,5698,5,27/10/2023
51,1316,3439,268,24/01/2025
52,6010,4093,0,08/03/2025
53,1843,7851,1,16/07/2024
54,932,4320,5,28/07/2023
55,3940,1039,4,01/01/2000
56,4035,4729,4,06/02/2025
57,4292,672,477,25/12/2023
58,77,9748,1,22/05/2023
59,2679,5433,1,21/02/2024
60,3628,6741,1,27/10/2024
61,2875,7494,5,06/07/2023
62,2450,6695,3,15/04/2024
63,5906,9649,0,18/01/2024
64,5372,8209,5,01/01/2000
65,6761,3213,2,14/03/2024
66,4149,4997,3,20/06/2024
67,4450,7471,5,09/01/2024
68,2435,2698,0,06/10/2023
69,5900,3003,2,16/03/2024
70,1691,7906,1,14/09/2024
71,1400,2203,3,23/07/2023
72,6540,9039,3,22/09/2024
73,6717,7047,14,29/12/2023
74,2006,3867,1,05/11/2023
75,6587,9532,5,24/09/2024
76,5741,9802,5,28/12/2023
77,3142,1891,1,22/06/2024
78,6676,6671,4,08/01/2025
79,5317,549,3,01/01/2000
80,4322,7688,1,10/06/2024
81,5631,2343,3,22/07/2024
82,1850,6475,2,11/11/2023
83,4461,6466,4,27/05/2023
84,4372,5053,4,19/12/2023
85,4472,6986,5,26/06/2024
86,1106,3483,2,26/03/2025
87,4802,7154,4,09/01/2025
88,5244,4153,5,10/09/2024
89,6110,7298,1,07/08/2023
90,1247,4578,301,01/11/2024
91,3684,9646,3,14/07/2024
92,1702,8812,3,12/10/2023
93,712,3070,1,23/11/2023
94,966,288,5,12/01/2024
95,3305,8571,2,22/07/2024
96,6416,7829,4,01/03/2025
97,6221,4260,4,06/12/2023
98,5038,5615,2,16/04/2024
99,4033,426,3,12/09/2024
100,4842,5483,5,02/02/2025
101,948,1758,5,23/02/2025
102,4104,3599,3,03/12/2024
103,4781,1435,5,28/07/2024
104,4963,6382,4,14/05/2024
105,799,6754,5,04/10/2024
106,2305,2990,5,18/11/2024
107,194,2117,297,25/11/2024
108,332,4077,0,08/09/2024
109,2760,1631,5,08/08/2023
110,3818,2645,3,22/01/2025
111,604,1075,2,03/11/2024
112,2771,8252,1,11/05/2025
113,5825,9420,1,18/02/2024
114,4552,706,4,19/07/2024
115,5422,9490,2,29/04/2025
116,5631,3250,2,19/03/2024
117,3542,7106,63,09/04/2025
118,2546,8591,3,26/08/2024
119,4418,4080,2,23/10/2023
120,6448,4268,4,09/09/2024
121,5833,6056,316,09/03/2024
122,2607,1141,3,07/03/2025
123,4138,3952,3,10/11/2023
124,4201,5887,273,19/01/2024
125,343,1794,3,12/10/2023
126,813,6660,4,20/11/2023
127,6492,7231,309,19/02/2024
128,446,7966,5,27/09/2023
129,4481,3893,326,01/01/2000
130,1360,4737,1,24/12/2023
131,4152,2826,5,16/08/2024
132,3118,3289,1,27/12/2023
133,2519,3600,3,26/07/2023
134,4008,84,3,12/12/2024
135,1938,7616,4,01/01/2000
136,2964,8592,2,11/11/2024
137,6977,6256,2,01/07/2023
138,1192,739,0,01/01/2000
139,6770,4213,2,13/05/2024
140,5562,6354,3,02/02/2025
141,5700,671,2,07/07/2024
142,5151,442,1,26/01/2025
143,4452,6880,1,01/01/2000
144,2863,405,83,10/05/2024
145,216,8560,3,11/10/2024
146,2910,545,4,05/11/2024
147,4797,2335,5,08/07/2023
148,4483,4072,4,04/06/2024
149,661,4084,2,17/06/2024
150,1173,5829,4,16/01/2024
151,4000,4020,2,22/08/2023
152,313,485,1,16/09/2024
153,1926,7495,5,21/01/2024
154,1997,9273,116,02/11/2023
155,864,8328,401,01/10/2023
156,469,369,2,06/08/2023
157,4885,5312,1,11/06/2024
158,932,1144,5,19/08/2024
159,5357,552,1,26/02/2025
160,6775,7291,5,23/02/2025
161,714,3295,4,26/03/2025
162,679,8881,142,19/09/2023
163,5564,8136,1,16/12/2024
164,6684,6619,1,09/09/2023
165,6135,8257,5,25/08/2024
166,393,7297,1,01/01/2000
167,2519,3837,1,13/03/2024
168,6608,2157,3,06/01/2024
169,2009,8452,5,23/03/2024
170,1107,3690,3,05/08/2023
171,2605,4902,3,01/04/2024
172,5393,536,0,07/01/2024
173,5556,2762,1,05/09/2024
174,3776,4826,1,08/02/2025
175,2019,1832,3,01/04/2024
176,76,6329,2,07/03/2024
177,1956,7391,3,17/12/2024
178,1694,8138,2,30/07/2024
179,6677,8773,4,01/01/2000
180,4376,3934,5,01/01/2000
181,2796,5359,2,20/06/2023
182,3881,5118,3,25/05/2024
183,4359,3248,4,22/08/2024
184,2901,2428,3,09/07/2023
185,4420,9359,0,25/07/2023
186,6558,6181,2,24/01/2024
187,2378,7016,4,11/01/2025
188,6611,6430,0,08/08/2024
189,2568,7129,2,20/02/2025
190,2479,2276,5,27/10/2023
191,2107,1840,3,29/05/2024
192,6440,646,5,17/05/2023
193,5248,7408,1,09/03/2025
