OrderNum,ItemID,Quantity
1,756,4
2,5395,2
3,8897,1
4,7727,4
5,2873,3
6,8834,2
7,6292,2
8,3812,4
9,430,2
10,1442,5
11,2696,5
12,8262,4
13,298,3
14,3999,2
15,5036,1
16,5041,4
17,4504,1
18,3903,2
19,8370,5
20,8995,5
21,608,5
22,4404,1
23,9802,1
24,3991,3
25,7327,4
26,2004,3
27,4941,4
28,5959,2
29,5951,2
30,3964,2
31,6641,5
32,937,3
33,7011,4
34,5187,5
35,6617,4
36,1159,4
37,7207,3
38,6051,3
39,4557,4
40,8704,4
41,183,5
42,7367,5
43,4697,2
44,9746,1
45,4277,1
46,4543,4
47,3222,1
48,8211,4
49,2416,1
50,2564,4
51,1578,3
52,5064,4
53,9314,4
54,3567,4
55,4668,1
56,1516,2
57,3442,4
58,5653,3
59,7644,4
60,9739,1
61,9057,5
62,6731,1
63,1295,3
64,9273,2
65,1141,1
66,8843,4
67,8181,1
68,8479,2
69,3696,3
70,423,4
71,6042,2
72,9113,1
73,3507,4
74,1147,5
75,4461,3
76,8294,2
77,8970,4
78,1310,4
79,4496,4
80,4364,5
81,3632,3
82,1025,1
83,9116,3
84,1383,4
85,5217,4
86,7143,4
87,3801,4
88,9682,1
89,4235,5
90,4497,3
91,4329,3
92,6759,1
93,1367,1
94,6446,4
95,8818,5
96,5516,2
97,4496,5
98,5691,1
99,6546,3
100,5097,2
101,6069,3
102,4274,1
103,1215,2
104,324,5
105,530,5
106,338,1
107,4986,1
108,5586,2
109,5690,5
110,7636,4
111,3272,1
112,4680,4
113,7572,2
114,9378,4
115,6156,3
116,5954,1
117,6623,3
118,1566,5
119,5596,2
120,9846,4
121,7120,5
122,4742,2
123,6720,1
124,9148,5
125,6563,5
126,3995,2
127,2815,1
128,6172,3
129,2271,1
130,6152,3
131,2321,4
132,9942,2
133,3097,4
134,3530,5
135,810,5
136,5894,4
137,249,3
138,5870,3
139,3091,3
140,6268,3
141,9246,2
142,9211,3
143,2140,3
144,6862,5
145,8740,1
146,257,4
147,1613,1
148,7202,1
149,6940,5
150,9851,1
151,4409,1
152,1894,4
153,298,4
154,2345,3
155,4836,3
156,526,2
157,6176,1
158,4010,2
159,3648,4
160,1383,4
161,2268,5
162,1941,1
163,6074,2
164,4015,4
165,1864,1
166,5983,5
167,9707,3
168,4313,5
169,9081,2
170,7169,4
171,6870,3
172,1221,2
173,4638,1
174,172,4
175,8860,1
176,9608,5
177,6406,5
178,1275,3
179,6786,2
180,9694,3
181,561,1
182,8549,5
183,1312,3
184,4217,3
185,1139,1
186,6298,4
187,9447,5
188,1756,1
189,6926,1
190,5637,3
191,7773,3
192,5868,2
193,8881,1
194,2641,3
195,2688,5
196,2715,3
197,4910,1
198,5202,1
199,1959,4
200,5924,2
201,5664,5
202,4008,2
203,2583,5
204,9557,1
205,319,5
206,5613,3
207,1980,4
208,6065,2
209,5166,2
210,7185,4
211,1778,1
212,7984,4
213,7932,2
214,4508,2
215,4732,5
216,8346,1
217,1860,2
218,7054,3
219,858,1
220,4571,3
221,7795,3
222,4189,1
223,9152,1
224,6153,1
225,6286,3
226,4625,5
227,2858,3
228,5642,5
229,1678,3
230,7477,3
231,2025,1
232,7281,3
233,2483,2
234,9,1
235,8882,2
236,1142,3
237,9593,1
238,3047,3
239,3475,5
240,3553,1
241,2720,5
242,3048,4
243,7545,1
244,5858,1
245,372,5
246,8571,3
247,5257,5
248,9793,1
249,9441,1
250,799,4
251,2547,1
252,5985,2
253,4103,4
254,252,3
255,7183,5
256,6078,1
257,7315,1
258,1765,2
259,4453,5
260,2185,4
261,1587,1
262,9999,5
263,3202,2
264,4942,1
265,7982,1
266,5324,4
267,2668,4
268,2478,5
269,9017,3
270,327,3
271,4189,1
272,9710,4
273,4705,5
274,9090,3
275,8092,1
276,4514,2
277,5626,2
278,1303,1
279,5177,2
280,4211,4
281,7213,4
282,816,5
283,3629,3
284,6661,2
285,7967,5
286,2035,2
287,80,4
288,9560,1
289,9280,1
290,8416,4
291,7756,5
292,2630,4
293,5524,1
294,9714,2
295,5188,5
296,9579,2
297,3911,3
298,5312,5
299,4172,5
300,6580,5
301,5699,5
302,9141,1
303,3579,4
304,5656,4
305,2873,1
306,3793,5
307,7851,1
308,9031,1
309,9676,4
310,6399,1
311,8837,2
312,837,2
313,4161,1
314,6876,5
315,400,1
316,2309,3
317,193,5
318,8068,2
319,7115,2
320,705,3
321,7979,4
322,8364,3
323,2444,5
324,9426,1
325,979,2
326,3435,1
327,7391,1
328,7243,4
329,9775,3
330,8167,1
331,1949,1
332,115,4
333,3108,5
334,6395,3
335,5671,5
336,6487,4
337,2407,3
338,7477,2
339,1546,5
340,9046,5
341,1242,3
342,675,3
343,869,5
344,1784,4
345,5251,4
346,2511,4
347,7207,2
348,5379,1
349,2135,1
350,6137,3
351,2206,5
352,190,4
353,249,5
354,1498,1
355,6613,3
356,6249,4
357,3368,4
358,5561,5
359,5939,3
360,8655,4
361,5120,5
362,7280,1
363,2280,2
364,7241,3
365,6148,3
366,4977,3
367,6033,3
368,8888,4
369,7845,2
370,8663,4
371,2481,2
372,5763,3
373,1010,1
374,6962,2
375,8420,4
376,4503,2
377,190,1
378,8789,2
379,4178,1
380,5443,2
381,391,2
382,6070,2
383,4893,5
384,2012,3
385,4606,4
386,3618,3
387,6989,4
388,1977,1
389,8625,3
390,568,5
391,4951,5
392,7277,5
393,4371,1
394,4671,5
395,2575,5
396,6421,3
397,6184,1
398,6056,3
399,3795,5
400,1860,4
401,6424,1
402,1901,4
403,8977,1
404,4360,5
405,2768,4
406,8476,3
407,1944,3
408,7218,2
409,3618,1
410,3244,1
411,5109,3
412,5849,5
413,1008,3
414,5154,3
415,3357,1
416,9504,4
417,5278,4
418,841,4
419,1541,3
420,8958,1
421,6004,1
422,4001,3
423,3990,1
424,2183,3
425,8614,3
426,1303,3
427,8674,4
428,6398,1
429,4571,4
430,2272,4
431,8875,1
432,947,4
433,7391,2
434,8647,3
435,4906,5
436,140,5
437,8870,2
438,703,5
439,1407,2
440,8311,5
441,7123,2
442,8870,1
443,709,1
444,8564,5
445,148,2
446,824,4
447,1335,2
448,1548,5
449,7718,4
450,1751,4
451,3033,1
452,9885,3
453,2064,5
454,8765,5
455,6272,2
456,5077,2
457,6469,3
458,3070,3
459,5838,1
460,9062,1
461,8100,4
462,575,1
463,1426,4
464,6629,1
465,2359,3
466,1375,5
467,8140,2
468,7214,2
469,1297,3
470,3863,4
471,9457,2
472,7171,2
473,6269,2
474,3087,1
475,7196,2
476,5849,3
477,5378,4
478,7061,4
479,1003,4
480,6446,3
481,3500,4
482,996,4
483,8523,1
484,6048,2
485,7514,1
486,5998,5
487,9507,3
488,569,5
489,9991,4
490,1863,3
491,7296,2
492,5899,4
493,4358,1
494,9157,2
495,8346,5
496,8536,3
497,1870,3
498,3293,2
499,3668,4
500,2421,2
501,4262,3
502,4266,1
503,1414,3
504,4111,2
505,2091,2
506,5539,3
507,6673,2
508,8675,2
509,6659,2
510,7081,5
511,1339,2
512,6889,5
513,9506,3
514,2862,2
515,3079,2
516,5579,2
517,6825,3
518,8682,4
519,6900,3
520,9375,4
521,8342,5
522,3263,2
523,6577,4
524,8513,4
525,3613,4
526,56,2
527,7815,1
528,6043,3
529,5227,5
530,826,2
531,4311,5
532,4561,4
533,5439,2
534,7816,3
535,5621,2
536,8292,3
537,5817,1
538,1420,3
539,3502,3
540,9450,2
541,7704,2
542,1569,3
543,7615,4
544,9161,4
545,9367,2
546,9136,4
547,636,3
548,9892,4
549,3949,5
550,5023,1
551,5369,5
552,4690,5
553,4231,2
554,3962,1
555,8988,2
556,7358,1
557,4518,3
558,4399,2
559,3161,2
560,8383,5
561,674,5
562,7014,5
563,132,3
564,8840,3
565,7187,1
566,6315,1
567,9806,2
568,6355,3
569,1480,3
570,4986,5
571,8378,1
572,8723,4
573,856,3
574,800,1
575,5074,4
576,5527,5
577,906,1
578,6841,1
579,778,1
580,3235,2
581,1184,3
582,9461,4
583,9683,2
584,9182,5
585,969,1
586,1549,1
587,7402,5
588,8253,5
589,4313,3
590,819,3
591,1903,4
592,2224,5
593,5921,5
594,7510,2
595,5361,5
596,1287,3
597,875,5
598,9813,4
599,4981,2
600,8622,4
601,282,5
602,4756,3
603,5355,1
604,6303,3
605,2332,5
606,8081,1
607,7471,3
608,8693,1
609,9943,5
610,4578,2
611,4047,3
612,904,4
613,361,1
614,8058,1
615,8816,1
616,6934,1
617,1471,1
618,800,5
619,843,2
620,2664,2
621,3441,2
622,4704,3
623,2382,4
624,2441,5
625,5809,3
626,4917,3
627,513,1
628,3646,5
629,2138,2
630,5138,2
631,6493,2
632,6973,5
633,6363,4
634,8507,1
635,7506,1
636,3600,4
637,9994,3
638,5115,5
639,1981,3
640,3851,2
641,9076,4
642,2528,1
643,2171,3
644,8131,4
645,5387,1
646,1943,1
647,1300,5
648,8756,4
649,5415,2
650,2663,2
651,9301,3
652,4650,5
653,195,4
654,1670,5
655,3806,1
656,7793,3
657,4251,2
658,310,4
659,8247,2
660,9318,4
661,994,5
662,323,2
663,307,3
664,1179,3
665,7018,4
666,1504,2
667,5484,1
668,3285,2
669,1065,2
670,9392,3
671,583,1
672,4389,3
673,6664,2
674,6644,3
675,2486,2
676,2049,3
677,8843,4
678,7500,5
679,8615,2
680,3607,4
681,2804,4
682,5628,4
683,2219,2
684,6133,2
685,3952,2
686,6818,5
687,7622,5
688,9114,5
689,3642,2
690,8330,4
691,356,1
692,4473,3
693,4784,3
694,1057,4
695,6605,5
696,5438,4
697,6135,2
698,6193,3
699,6392,2
700,9734,2
701,8838,4
702,5440,4
703,1556,2
704,7760,5
705,2858,2
706,812,3
707,4359,3
708,4438,3
709,5695,3
710,2511,1
711,1769,3
712,8666,1
713,2128,4
714,1744,4
715,6999,1
716,7494,5
717,6219,2
718,178,5
719,8652,4
720,9369,5
721,6485,3
722,9483,1
723,96,4
724,8214,4
725,5263,2
726,175,4
727,2663,3
728,7070,4
729,107,3
730,6751,1
731,8570,5
732,5333,2
733,7583,1
734,1669,5
735,5109,5
736,1725,5
737,6535,5
738,6050,1
739,39,2
740,1092,3
741,8763,5
742,8054,5
743,2435,1
744,7212,5
745,3721,4
746,2736,5
747,4452,3
748,7586,4
749,4039,4
750,875,3
751,3642,2
752,7823,1
753,1100,4
754,1533,5
755,1706,1
756,4278,2
757,9177,2
758,3344,4
759,4104,2
760,1610,5
761,4518,4
762,6850,4
763,3417,2
764,8517,2
765,3423,2
766,7951,1
767,2420,5
768,4860,1
769,4543,5
770,4578,1
771,4836,1
772,8441,3
773,1304,1
774,6158,5
775,7559,2
776,4438,5
777,5378,1
778,831,5
779,1748,4
780,5101,5
781,5460,2
782,7482,2
783,7353,3
784,6968,2
785,8612,5
786,9896,2
787,8068,4
788,1289,2
789,3081,1
790,5223,5
791,410,5
792,2160,4
793,6715,3
794,7667,5
795,5956,4
796,9467,5
797,6882,4
798,1416,3
799,7684,4
800,5206,3
801,2393,1
802,6082,4
803,1561,3
804,3473,3
805,9455,1
806,2907,3
807,6639,5
808,6333,3
809,7023,1
810,1209,5
811,7184,2
812,1456,3
813,1902,4
814,1505,4
815,9724,5
816,8832,2
817,4247,5
818,8334,5
819,303,4
820,5784,5
821,4078,3
822,9780,5
823,6834,3
824,4647,1
825,6992,5
826,9588,2
827,8600,1
828,9449,2
829,4016,3
830,1234,4
831,2192,5
832,418,4
833,8748,2
834,6205,2
835,2122,2
836,9765,1
837,4454,2
838,1800,2
839,7831,5
840,5500,3
841,6818,3
842,3254,5
843,1476,3
844,486,2
845,2216,2
846,5507,1
847,2069,2
848,5892,1
849,7819,2
850,7638,5
851,3257,2
852,2262,2
853,4827,4
854,7156,1
855,44,5
856,3298,4
857,6905,4
858,1181,2
859,6589,2
860,2218,3
861,6178,2
862,3424,1
863,4932,2
864,2202,4
865,3793,3
866,1194,1
867,4637,3
868,6965,2
869,9440,4
870,6401,1
871,7798,4
872,3900,4
873,5229,3
874,3827,2
875,5730,4
876,9193,2
877,9128,2
878,1275,4
879,7131,2
880,6724,3
881,1199,4
882,9344,3
883,8487,5
884,4876,4
885,2193,5
886,6176,2
887,7369,3
888,4198,5
889,9964,5
890,6727,2
891,2485,2
892,4916,1
893,8205,5
894,2100,4
895,1130,5
896,4458,2
897,4268,1
898,1953,1
899,5177,3
900,4019,4
901,7352,1
902,8813,5
903,6073,2
904,8613,1
905,9240,5
906,6916,1
907,9689,2
908,9439,5
909,1693,5
910,1879,3
911,3737,5
912,7472,5
913,3866,1
914,2755,2
915,9765,1
916,120,5
917,9513,5
918,9256,2
919,4810,2
920,2244,2
921,6389,1
922,2904,5
923,3630,1
924,5668,4
925,942,4
926,8415,3
927,5929,1
928,9528,3
929,6133,4
930,6964,5
931,774,3
932,4106,4
933,9735,4
934,5749,4
935,3933,2
936,3023,5
937,4612,3
938,7443,3
939,2160,2
940,7515,2
941,2963,5
942,9169,2
943,5475,4
944,531,2
945,1953,2
946,8351,3
947,2111,1
948,2739,3
949,5671,5
950,2076,3
951,5357,2
952,2181,3
953,346,2
954,3849,2
955,198,2
956,5455,2
957,7850,1
958,1142,4
959,9690,4
960,7643,2
961,8549,1
962,8483,5
963,9232,3
964,6536,1
965,3556,3
966,6232,2
967,3335,3
968,8803,5
969,623,1
970,4062,3
971,6637,1
972,2847,1
973,4055,1
974,2736,4
975,2607,1
976,3299,1
977,1171,1
978,826,5
979,4543,2
980,5551,1
981,4985,5
982,6372,2
983,3362,5
984,3596,1
985,9613,5
986,9307,1
987,3292,3
988,5671,1
989,4414,1
990,1118,3
991,5433,4
992,1224,2
993,9656,2
994,1197,2
995,786,5
996,715,1
997,5375,4
998,3389,1
999,4836,1
1000,5441,1
1001,2399,4
1002,8112,4
1003,77,2
1004,5994,3
1005,8665,3
1006,8525,3
1007,8540,3
1008,128,5
1009,6054,4
1010,7296,4
1011,4190,4
1012,6392,3
1013,5186,1
1014,8878,5
1015,7863,5
1016,4759,2
1017,3243,2
1018,3112,2
1019,7629,5
1020,2392,3
1021,6070,5
1022,3370,4
1023,1000,3
1024,9997,4
1025,1451,3
1026,5130,5
1027,2419,3
1028,6873,2
1029,9901,2
1030,9051,4
1031,9161,2
1032,7228,5
1033,4649,5
1034,6542,1
1035,5715,5
1036,2036,2
1037,46,1
1038,6516,4
1039,4553,2
1040,5508,3
1041,1427,1
1042,3454,1
1043,4155,2
1044,4256,5
1045,1224,3
1046,7776,5
1047,5119,2
1048,6381,3
