ReviewID,CustomerID,ItemID,Rating,Comment
1,6187,2828,3.0,Again where while take cut audience project design method then must house state need arm suggest always.
2,6391,234,5.0,Strong send nor president peace debate left knowledge discover always participant prevent should compare anything its dark shake day more traditional better car heart.
3,4692,3687,1.0,Success education brother direction me board hour floor magazine guy agree always lose with word knowledge population seek religious instead.
4,6579,5167,4.0,Hair fund society decide reach kitchen international film face fly really should scientist.
5,783,3671,2.0,Movement lose address fast require fine air much church increase still seat property know audience our better direction into city assume east.
6,2689,6084,5.0,Return involve cup develop painting role stage everybody leg newspaper able start sound huge quality school fall specific discussion.
7,2950,9458,4.0,Or exist meet team both across continue line life begin we call common adult various many minute word question number fast onto long past newspaper total central discuss.
8,4386,6330,4.0,Writer kitchen everyone spend clear present science manage I test may past turn catch about.
9,5113,975,5.0,Find attorney big determine all clear college information force card option tax compare himself win thing better.
10,3036,2487,4.0,But ask value newspaper three heavy actually use hard lot benefit term.
11,741,8405,1.0,Option region and marriage time crime again across large walk everyone soon education consumer.
12,534,4973,1.0,Pick among minute year officer other fine something knowledge work population itself four Mr card finally support citizen last we page pull several individual lose.
13,3681,3229,3.0,Art push media whose individual strong become now fine question husband story Democrat list free.
14,2779,3623,1.0,Plan we evidence full wind discussion with create source hot summer such executive bed manage wear husband professor notice push coach will.
15,6187,5045,2.0,Join long majority me choose value rest site food debate from message yard lose memory wait candidate general ground production population plant store beautiful pressure building.
16,2014,6955,4.0,Every company care able medical rest they upon suffer look over stock factor only give social fight raise over there box boy radio possible.
17,145,7634,2.0,Air risk reality raise during like program arrive return kitchen wife window mission.
18,6734,5905,2.0,Recently senior thought occur war ten third family couple begin message partner.
19,4013,8772,2.0,Region those machine her she practice adult price operation practice financial everyone because miss computer director.
20,3061,145,5.0,Goal often hold score moment program local eye husband each this onto eat state soldier fine president relationship.
21,1601,8847,2.0,Family opportunity drive car ago policy central race audience become available general surface unit easy perhaps fire church wife indeed hundred include dark local.
22,2380,602,2.0,Everyone recognize wide himself somebody require the agency result popular better public no worry recently me expect machine.
23,4317,9414,1.0,Among fast close though what thank system single fast ready tell serve various instead activity which statement last son seek kid be.
24,3247,1438,3.0,Owner course whatever network company specific attention recognize whether exist stay fly key sign again method its with big today admit song training.
25,2414,7449,3.0,Stage candidate oil dark sound quality behavior we American act just six meeting behavior already meet risk film financial letter character guess end pick such really.
26,1751,4371,4.0,Above never southern senior be kind area her million thing not consumer over small economic it sound official officer old space color heavy.
27,3972,2118,5.0,Wind guess message position human let budget painting store field system floor author parent collection town table.
28,3812,9525,5.0,Become drug room phone white particular affect kitchen role or act edge than student policy.
29,1121,3155,3.0,Maybe environment loss form girl cup past drug mean space east early company include red various option consumer.
30,6351,6795,2.0,Fast leave development cause anyone agency few modern on wife line around there you spend kid whole piece tell.
31,2202,218,5.0,Peace or house drop under conference national anything trouble his among write treatment choose spend something tell that cost usually.
32,4357,5503,1.0,Among adult cause each newspaper truth bit create add action as recent identify young mention international within address small.
33,1172,892,2.0,Performance information without foreign bank firm much dark agent bad area tree find popular economic perform chance market mind finish raise future almost job hope which stock.
34,4751,2348,1.0,Public generation kind security training north plant beautiful early push senior own force cut across difference.
35,6302,1793,1.0,Bit seem act offer hope at source eight collection cause plant memory idea form season may bank national travel well service fast.
36,6844,2795,5.0,Late measure probably ball involve condition end activity specific sell three also responsibility any music bag prove degree politics.
