OrderNum,CustomerID,ItemID,Quantity,OrderDate
1,6859,1957,2,2024-02-21
2,3485,8226,2,2024-06-10
3,1758,6981,2,2023-08-28
4,4359,3834,2,2024-02-25
5,4567,6386,143,2024-03-27
6,5890,4477,3,2024-01-13
7,1940,3380,5,2023-09-26
8,4549,348,5,2024-09-18
9,3202,4066,2,2024-09-16
10,6297,2712,222,2024-11-30
11,3613,8003,5,2023-09-19
12,5914,5588,1,2023-10-31
13,1471,8809,1,2024-08-18
14,4565,1375,107,2024-09-26
15,301,2522,5,2024-04-16
16,3345,68,2,2023-05-29
17,266,7513,1,2025-04-08
18,4103,4698,3,2024-09-05
19,2915,795,2,2024-08-03
20,1426,1635,4,2024-11-19
21,2851,4520,5,2024-10-15
22,761,5551,3,2025-01-19
23,479,8046,111,2024-05-17
24,5035,4879,2,2023-12-22
25,4908,1357,3,2024-06-07
26,4771,470,5,2025-02-13
27,3841,6620,1,2024-07-23
28,6513,7386,4,2024-09-13
29,3088,6996,4,2024-10-06
30,619,3398,3,
31,2505,7125,3,2024-04-25
32,3960,2684,3,2024-04-09
33,6497,3860,5,2023-11-05
34,3572,3610,2,2024-05-26
35,324,5733,3,2024-08-06
36,6592,7283,4,2023-09-27
37,4394,2229,3,2024-08-10
38,6932,2769,2,2023-09-27
39,2148,7548,3,2024-02-13
40,4623,8766,1,2024-02-09
41,5443,7991,3,2023-06-24
42,6108,7250,3,2023-08-20
43,2177,9799,2,2024-01-13
44,4954,126,204,2025-01-02
45,2957,592,2,2023-10-30
46,6069,8337,3,2024-01-10
47,1401,4359,2,
48,5168,1522,5,2024-09-12
49,3707,4893,1,
50,6483,5698,5,2023-10-27
51,1316,3439,297,2025-01-24
52,6010,4093,2,2025-03-08
53,1843,7851,1,2024-07-16
54,932,4320,5,2023-07-28
55,3940,1039,4,
56,4035,4729,4,2025-02-06
57,4292,672,518,2023-12-25
58,77,9748,1,2023-05-22
59,2679,5433,1,2024-02-21
60,3628,6741,1,2024-10-27
61,2875,7494,5,2023-07-06
62,2450,6695,3,2024-04-15
63,5906,9649,3,2024-01-18
64,5372,8209,5,
65,6761,3213,2,2024-03-14
66,4149,4997,3,2024-06-20
67,4450,7471,5,2024-01-09
68,2435,2698,4,2023-10-06
69,5900,3003,2,2024-03-16
70,1691,7906,1,2024-09-14
71,1400,2203,3,2023-07-23
72,6540,9039,3,2024-09-22
73,6717,7047,34,2023-12-29
74,2006,3867,1,2023-11-05
75,6587,9532,5,2024-09-24
76,5741,9802,5,2023-12-28
77,3142,1891,1,2024-06-22
78,6676,6671,4,2025-01-08
79,5317,549,3,
80,4322,7688,1,2024-06-10
81,5631,2343,3,2024-07-22
82,1850,6475,2,2023-11-11
83,4461,6466,4,2023-05-27
84,4372,5053,4,2023-12-19
85,4472,6986,5,2024-06-26
86,1106,3483,2,2025-03-26
87,4802,7154,4,2025-01-09
88,5244,4153,5,2024-09-10
89,6110,7298,1,2023-08-07
90,1247,4578,316,2024-11-01
91,3684,9646,3,2024-07-14
92,1702,8812,3,2023-10-12
93,712,3070,1,2023-11-23
94,966,288,5,2024-01-12
95,3305,8571,2,2024-07-22
96,6416,7829,4,2025-03-01
97,6221,4260,4,2023-12-06
98,5038,5615,2,2024-04-16
99,4033,426,3,2024-09-12
100,4842,5483,5,2025-02-02
101,948,1758,5,2025-02-23
102,4104,3599,3,2024-12-03
103,4781,1435,5,2024-07-28
104,4963,6382,4,2024-05-14
105,799,6754,5,2024-10-04
106,2305,2990,5,2024-11-18
107,194,2117,343,2024-11-25
108,332,4077,4,2024-09-08
109,2760,1631,5,2023-08-08
110,3818,2645,3,2025-01-22
111,604,1075,2,2024-11-03
112,2771,8252,1,2025-05-11
113,5825,9420,1,2024-02-18
114,4552,706,4,2024-07-19
115,5422,9490,2,2025-04-29
116,5631,3250,2,2024-03-19
117,3542,7106,102,2025-04-09
118,2546,8591,3,2024-08-26
119,4418,4080,2,2023-10-23
120,6448,4268,4,2024-09-09
121,5833,6056,353,2024-03-09
122,2607,1141,3,2025-03-07
123,4138,3952,3,2023-11-10
124,4201,5887,313,2024-01-19
125,343,1794,3,2023-10-12
126,813,6660,4,2023-11-20
127,6492,7231,340,2024-02-19
128,446,7966,5,2023-09-27
129,4481,3893,373,
130,1360,4737,1,2023-12-24
131,4152,2826,5,2024-08-16
132,3118,3289,1,2023-12-27
133,2519,3600,3,2023-07-26
134,4008,84,3,2024-12-12
135,1938,7616,4,
136,2964,8592,2,2024-11-11
137,6977,6256,2,2023-07-01
138,1192,739,3,
139,6770,4213,2,2024-05-13
140,5562,6354,3,2025-02-02
141,5700,671,2,2024-07-07
142,5151,442,1,2025-01-26
143,4452,6880,1,
144,2863,405,120,2024-05-10
145,216,8560,3,2024-10-11
146,2910,545,4,2024-11-05
147,4797,2335,5,2023-07-08
148,4483,4072,4,2024-06-04
149,661,4084,2,2024-06-17
150,1173,5829,4,2024-01-16
151,4000,4020,2,2023-08-22
152,313,485,1,2024-09-16
153,1926,7495,5,2024-01-21
154,1997,9273,147,2023-11-02
155,864,8328,411,2023-10-01
156,469,369,2,2023-08-06
157,4885,5312,1,2024-06-11
158,932,1144,5,2024-08-19
159,5357,552,1,2025-02-26
160,6775,7291,5,2025-02-23
161,714,3295,4,2025-03-26
162,679,8881,170,2023-09-19
163,5564,8136,2,2024-12-16
164,6684,6619,1,2023-09-09
165,6135,8257,5,2024-08-25
166,393,7297,1,
167,2519,3837,1,2024-03-13
168,6608,2157,3,2024-01-06
169,2009,8452,5,2024-03-23
170,1107,3690,3,2023-08-05
171,2605,4902,3,2024-04-01
172,5393,536,2,2024-01-07
173,5556,2762,1,2024-09-05
174,3776,4826,1,2025-02-08
175,2019,1832,3,2024-04-01
