OrderNum,ItemID,Quantity
1,756,4
1,5395,2
1,8897,1
1,7727,4
1,2873,3
2,8834,2
2,6292,2
2,3812,4
3,430,2
3,1442,5
4,2696,5
5,8262,4
5,298,3
5,3999,2
5,5036,1
5,5041,4
6,4504,1
6,3903,2
6,8370,5
6,8995,5
7,608,5
7,4404,1
7,9802,1
7,3991,3
7,7327,4
8,2004,3
8,4941,4
8,5959,2
8,5951,2
9,3964,2
9,6641,5
9,937,3
10,7011,4
10,5187,5
10,6617,4
11,1159,4
11,7207,3
11,6051,3
12,4557,4
12,8704,4
12,183,5
12,7367,5
13,4697,2
13,9746,1
13,4277,1
13,4543,4
13,3222,1
14,8211,4
15,2416,1
15,2564,4
15,1578,3
15,5064,4
16,9314,4
16,3567,4
17,4668,1
17,1516,2
17,3442,4
18,5653,3
19,7644,4
19,9739,1
19,9057,5
19,6731,1
19,1295,3
20,9273,2
20,1141,1
20,8843,4
21,8181,1
21,8479,2
21,3696,3
21,423,4
22,6042,2
22,9113,1
22,3507,4
22,1147,5
23,4461,3
23,8294,2
23,8970,4
23,1310,4
23,4496,4
24,4364,5
25,3632,3
26,1025,1
26,9116,3
27,1383,4
27,5217,4
27,7143,4
27,3801,4
27,9682,1
28,4235,5
28,4497,3
28,4329,3
28,6759,1
28,1367,1
29,6446,4
29,8818,5
30,5516,2
30,4496,5
31,5691,1
31,6546,3
31,5097,2
31,6069,3
32,4274,1
32,1215,2
32,324,5
33,530,5
33,338,1
33,4986,1
33,5586,2
33,5690,5
34,7636,4
34,3272,1
35,4680,4
35,7572,2
35,9378,4
35,6156,3
35,5954,1
36,6623,3
36,1566,5
36,5596,2
36,9846,4
37,7120,5
38,4742,2
38,6720,1
39,9148,5
39,6563,5
39,3995,2
39,2815,1
40,6172,3
40,2271,1
40,6152,3
40,2321,4
41,9942,2
41,3097,4
41,3530,5
41,810,5
41,5894,4
42,249,3
43,5870,3
43,3091,3
43,6268,3
43,9246,2
44,9211,3
45,2140,3
45,6862,5
45,8740,1
45,257,4
45,1613,1
46,7202,1
46,6940,5
46,9851,1
46,4409,1
47,1894,4
47,298,4
47,2345,3
47,4836,3
47,526,2
48,6176,1
48,4010,2
48,3648,4
48,1383,4
49,2268,5
49,1941,1
49,6074,2
49,4015,4
49,1864,1
50,5983,5
50,9707,3
50,4313,5
50,9081,2
50,7169,4
51,6870,3
51,1221,2
51,4638,1
51,172,4
52,8860,1
52,9608,5
52,6406,5
53,1275,3
53,6786,2
54,9694,3
55,561,1
56,8549,5
56,1312,3
56,4217,3
56,1139,1
57,6298,4
57,9447,5
57,1756,1
57,6926,1
58,5637,3
58,7773,3
